Concentration,Time_min,RFU_Interpolated,Concentration [μM]
5.0 ug/mL,9.56,3130134.09971,5.0
5.0 ug/mL,9.58,3130134.09971,5.0
5.0 ug/mL,9.6,3130134.09971,5.0
5.0 ug/mL,9.620000000000001,3130134.09971,5.0
5.0 ug/mL,9.64,3130134.09971,5.0
5.0 ug/mL,9.66,3130134.09971,5.0
5.0 ug/mL,9.68,3130134.09971,5.0
5.0 ug/mL,9.700000000000001,3130134.09971,5.0
5.0 ug/mL,9.72,3130134.09971,5.0
5.0 ug/mL,9.74,3130134.09971,5.0
5.0 ug/mL,9.76,3130134.09971,5.0
5.0 ug/mL,9.78,3130134.09971,5.0
5.0 ug/mL,9.8,3130134.09971,5.0
5.0 ug/mL,9.82,3130134.09971,5.0
5.0 ug/mL,9.84,3130134.09971,5.0
5.0 ug/mL,9.86,3130134.09971,5.0
5.0 ug/mL,9.88,3130134.09971,5.0
5.0 ug/mL,9.9,3130134.09971,5.0
5.0 ug/mL,9.92,3130134.09971,5.0
5.0 ug/mL,9.94,3130134.09971,5.0
5.0 ug/mL,9.96,3130134.09971,5.0
5.0 ug/mL,9.98,3130134.09971,5.0
5.0 ug/mL,10.0,3130134.09971,5.0
5.0 ug/mL,10.02,3130134.09971,5.0
5.0 ug/mL,10.040000000000001,3130134.09971,5.0
5.0 ug/mL,10.06,3130134.09971,5.0
5.0 ug/mL,10.08,3130134.09971,5.0
5.0 ug/mL,10.1,3130134.09971,5.0
5.0 ug/mL,10.120000000000001,3130134.09971,5.0
5.0 ug/mL,10.14,3130134.09971,5.0
5.0 ug/mL,10.16,3130134.09971,5.0
5.0 ug/mL,10.18,3130134.09971,5.0
5.0 ug/mL,10.200000000000001,3130134.09971,5.0
5.0 ug/mL,10.22,3130134.09971,5.0
5.0 ug/mL,10.24,3130134.09971,5.0
5.0 ug/mL,10.26,3130134.09971,5.0
5.0 ug/mL,10.28,3130134.09971,5.0
5.0 ug/mL,10.3,3130134.09971,5.0
5.0 ug/mL,10.32,3130134.09971,5.0
5.0 ug/mL,10.34,3130134.09971,5.0
5.0 ug/mL,10.36,3130134.09971,5.0
5.0 ug/mL,10.38,3130134.09971,5.0
5.0 ug/mL,10.4,3130134.09971,5.0
5.0 ug/mL,10.42,3130134.09971,5.0
5.0 ug/mL,10.44,3130134.09971,5.0
5.0 ug/mL,10.46,3130134.09971,5.0
5.0 ug/mL,10.48,3130134.09971,5.0
5.0 ug/mL,10.5,3130134.09971,5.0
5.0 ug/mL,10.52,3130134.09971,5.0
5.0 ug/mL,10.540000000000001,3130134.09971,5.0
5.0 ug/mL,10.56,3130134.09971,5.0
5.0 ug/mL,10.58,3130134.09971,5.0
5.0 ug/mL,10.6,3130134.09971,5.0
5.0 ug/mL,10.620000000000001,3130134.09971,5.0
5.0 ug/mL,10.64,3130134.09971,5.0
5.0 ug/mL,10.66,3130134.09971,5.0
5.0 ug/mL,10.68,3130134.09971,5.0
5.0 ug/mL,10.700000000000001,3130134.09971,5.0
5.0 ug/mL,10.72,3130134.09971,5.0
5.0 ug/mL,10.74,3130134.09971,5.0
5.0 ug/mL,10.76,3130134.09971,5.0
5.0 ug/mL,10.78,3130134.09971,5.0
5.0 ug/mL,10.8,3130134.09971,5.0
5.0 ug/mL,10.82,3130134.09971,5.0
